THE	TH IH
STREWED	S D R IH W IH D
VASES	V AH S IH S
VASES	V AH S AH S
ADMONITIONS	AH D M AO N IY T IY AO N S
ADMONITIONS	AH D M AH N AH T AH AH N S
ADMONITIONS	AH D M AO N IY D IY AO N S
VOCAL	V AO K AH L
VOCAL	V AH K AH L
UNSEEMLY	UW N S IH IH M L Y
UNSEEMLY	AH N S AH AH M L Y
CERES	K IH R IH S
CERES	K AH R AH S
HOUSEWIFERY	HH AO UW S IH W IY F IH R Y
HOUSEWIFERY	HH AH AH S AH W AH F AH R Y
MILLET	M IY L L IH T
MILLET	M AH L L AH T
LENTILS	L IH N T IY L S
LENTILS	L AH N T AH L S
LENTILS	L IH N D IY L S
FLEECES	F L IH IH K IH S
FLEECES	F L AH AH K AH S
NOONTIDE	N AO AO N T IY D IH
NOONTIDE	N AH AH N T AH D AH
NOONTIDE	N AO AO N D IY D IH
EREBUS	IH R IH B UW S
EREBUS	AH R AH B AH S
GROVELLING	G R AO V IH L L IY N G
GROVELLING	G R AH V AH L L AH N G
BLISSFUL	B L IY S S F UW L
BLISSFUL	B L AH S S F AH L
FABLES	F AH B L IH S
FABLES	F AH B L AH S
WORSHIPPER	W AO R S HH IY P P IH R
WORSHIPPER	W AH R S HH AH P P AH R
OLYMPUS	AO L Y M P UW S
OLYMPUS	AH L Y M P AH S
CENSOR	K IH N S AO R
CENSOR	K AH N S AH R
MOORE'S	M AO AO R IH S
MOORE'S	M AH AH R AH S
SALES	S AH L IH S
SALES	S AH L AH S
SNACK	S N AH K K
GRUYERE	G R UW Y IH R IH
GRUYERE	G R AH Y AH R AH
ANJOU	AH N JH AO UW
ANJOU	AH N JH AH AH
FORTISSIMO	F AO R T IY S S IY M AO
FORTISSIMO	F AH R T AH S S AH M AH
FORTISSIMO	F AO R D IY S S IY M AO
TAWNY	T AH W N Y
BRITTLE	B R IY T T L IH
BRITTLE	B R AH T T L AH
BRITTLE	B R IY D D L IH
NIPS	N IY P S
NIPS	N AH P S
DOCTORING	D AO K T AO R IY N G
DOCTORING	D AH K T AH R AH N G
DOCTORING	D AO K D AO R IY N G
DANZIG	D AH N Z IY G
DANZIG	D AH N Z AH G
CARAWAY	K AH R AH W AH Y
SIP	S IY P
TRIBAL	T R IY B AH L
TRIBAL	T R AH B AH L
TILLED	T IY L L IH D
TILLED	T AH L L AH D
TILLED	T IY L L IH T
MAIZE	M AH IY Z IH
MAIZE	M AH AH Z AH
MOHAWK	M AO HH AH W K
MOHAWK	M AH HH AH W K
GOADED	G AO AH D IH D
GOADED	G AH AH D AH D
GOADED	G AO AH D IH T
PROLOGUE	P R AO L AO G UW IH
PROLOGUE	P R AH L AH G AH AH
ALGONQUINS	AH L G AO N K UW IY N S
ALGONQUINS	AH L G AH N K AH AH N S
VOYAGER	V AO Y AH G IH R
VOYAGER	V AH Y AH G AH R
WANDERERS	W AH N D IH R IH R S
WANDERERS	W AH N D AH R AH R S
CURBED	K UW R B IH D
CURBED	K AH R B AH D
CURBED	K UW R B IH T
GARRISONS	G AH R R IY S AO N S
GARRISONS	G AH R R AH S AH N S
DEPLETED	D IH P L IH T IH D
DEPLETED	D AH P L AH T AH D
DEPLETED	D IH P L IH T IH T
DEPLETED	D IH P L IH D IH D
LOYOLA	L AO Y AO L AH
LOYOLA	L AH Y AH L AH
ABSOLUTISM	AH B S AO L UW T IY S M
ABSOLUTISM	AH B S AH L AH T AH S M
ABSOLUTISM	AH B S AO L UW D IY S M
HEARKEN	HH IH AH R K IH N
HEARKEN	HH AH AH R K AH N
HEARKENING	HH IH AH R K IH N IY N G
HEARKENING	HH AH AH R K AH N AH N G
SUPPOSITIONS	S UW P P AO S IY T IY AO N S
SUPPOSITIONS	S AH P P AH S AH T AH AH N S
SUPPOSITIONS	S UW P P AO S IY D IY AO N S
TATTOO	T AH T T AO AO
TATTOO	T AH T T AH AH
TATTOO	T AH D D AO AO
VEX	V IH K S
KYUSHU	K Y UW S HH UW
KYUSHU	K Y AH S HH AH
WITHSTOOD	W IY T HH S T AO AO D
WITHSTOOD	W AH T HH S T AH AH D
WITHSTOOD	W IY T HH S T AO AO T
WITHSTOOD	W IY D HH S D AO AO D
MUGEN	M UW G IH N
MUGEN	M AH G AH N
VERB	V IH R B
VERB	V AH R B
MIMETIC	M IY M IH T IY K
MIMETIC	M AH M AH T AH K
MIMETIC	M IY M IH D IY K
BUDDHA	B UW D D HH AH
BUDDHA	B AH D D HH AH
VALUABLES	V AH L UW AH B L IH S
VALUABLES	V AH L AH AH B L AH S
SOLES	S AO L IH S
SOLES	S AH L AH S
IMAGINATIVELY	IY M AH G IY N AH T IY V IH L Y
IMAGINATIVELY	AH M AH G AH N AH T AH V AH L Y
IMAGINATIVELY	IY M AH G IY N AH D IY V IH L Y
JIKININKI	JH IY K IY N IY N K IY
JIKININKI	JH AH K AH N AH N K AH
DEVOURS	D IH V AO UW R S
DEVOURS	D AH V AH AH R S
OBLIGES	AO B L IY G IH S
OBLIGES	AH B L AH G AH S
AGREES	AH G R IH IH S
AGREES	AH G R AH AH S
ANJITSU	AH N JH IY T S UW
ANJITSU	AH N JH AH T S AH
ANJITSU	AH N JH IY D S UW
ROADSIDE	R AO AH D S IY D IH
ROADSIDE	R AH AH D S AH D AH
SKIRTING	S K IY R T IY N G
SKIRTING	S K AH R T AH N G
SKIRTING	S K IY R D IY N G
ATONEMENT	AH T AO N IH M IH N T
ATONEMENT	AH T AH N AH M AH N T
ATONEMENT	AH D AO N IH M IH N T
AQUEDUCT	AH K UW IH D UW K T
AQUEDUCT	AH K AH AH D AH K T
GNASHED	G N AH S HH IH D
GNASHED	G N AH S HH AH D
GNASHED	G N AH S HH IH T
SQUATTING	S K UW AH T T IY N G
SQUATTING	S K AH AH T T AH N G
SQUATTING	S K UW AH D D IY N G
FOULED	F AO UW L IH D
FOULED	F AH AH L AH D
FOULED	F AO UW L IH T
MURDERER'S	M UW R D IH R IH R S
MURDERER'S	M AH R D AH R AH R S
COLLEAGUES	K AO L L IH AH G UW IH S
COLLEAGUES	K AH L L AH AH G AH AH S
KAI	K AH IY
JOCOSELY	JH AO K AO S IH L Y
JOCOSELY	JH AH K AH S AH L Y
TOLERATED	T AO L IH R AH T IH D
TOLERATED	T AH L AH R AH T AH D
TOLERATED	T AO L IH R AH T IH T
TOLERATED	T AO L IH R AH D IH D
PARLORS	P AH R L AO R S
PARLORS	P AH R L AH R S
PEDDLER	P IH D D L IH R
PEDDLER	P AH D D L AH R
JEANETTE	JH IH AH N IH T T IH
JEANETTE	JH AH AH N AH T T AH
JEANETTE	JH IH AH N IH D D IH
INDISCRIMINATE	IY N D IY S K R IY M IY N AH T IH
INDISCRIMINATE	AH N D AH S K R AH M AH N AH T AH
INDISCRIMINATE	IY N D IY S K R IY M IY N AH D IH
DOWER	D AO W IH R
DOWER	D AH W AH R
EMPIRIC	IH M P IY R IY K
EMPIRIC	AH M P AH R AH K
ARRESTING	AH R R IH S T IY N G
ARRESTING	AH R R AH S T AH N G
ARRESTING	AH R R IH S D IY N G
SIMPLES	S IY M P L IH S
SIMPLES	S AH M P L AH S
CHECKING	CH IH K K IY N G
CHECKING	CH AH K K AH N G
DISRESPECT	D IY S R IH S P IH K T
DISRESPECT	D AH S R AH S P AH K T
PERSEVERED	P IH R S IH V IH R IH D
PERSEVERED	P AH R S AH V AH R AH D
PERSEVERED	P IH R S IH V IH R IH T
LAWTON'S	L AH W T AO N S
LAWTON'S	L AH W T AH N S
LAWTON'S	L AH W D AO N S
PRESUMPTUOUS	P R IH S UW M P T UW AO UW S
PRESUMPTUOUS	P R AH S AH M P T AH AH AH S
PRESUMPTUOUS	P R IH S UW M P D UW AO UW S
BANDAGES	B AH N D AH G IH S
BANDAGES	B AH N D AH G AH S
COMPLACENT	K AO M P L AH K IH N T
COMPLACENT	K AH M P L AH K AH N T
EXCEEDS	IH K S K IH IH D S
EXCEEDS	AH K S K AH AH D S
VIRGINIANS	V IY R G IY N IY AH N S
VIRGINIANS	V AH R G AH N AH AH N S
VALE	V AH L IH
VALE	V AH L AH
DESPONDENCY	D IH S P AO N D IH N K Y
DESPONDENCY	D AH S P AH N D AH N K Y
RENOVATED	R IH N AO V AH T IH D
RENOVATED	R AH N AH V AH T AH D
RENOVATED	R IH N AO V AH T IH T
RENOVATED	R IH N AO V AH D IH D
EXERTING	IH K S IH R T IY N G
EXERTING	AH K S AH R T AH N G
EXERTING	IH K S IH R D IY N G
PROFFER	P R AO F F IH R
PROFFER	P R AH F F AH R
SOMERSAULT	S AO M IH R S AH UW L T
SOMERSAULT	S AH M AH R S AH AH L T
RESTORING	R IH S T AO R IY N G
RESTORING	R AH S T AH R AH N G
RESTORING	R IH S D AO R IY N G
SLIPPER	S L IY P P IH R
SLIPPER	S L AH P P AH R
PORTIONED	P AO R T IY AO N IH D
PORTIONED	P AH R T AH AH N AH D
PORTIONED	P AO R T IY AO N IH T
PORTIONED	P AO R D IY AO N IH D
NICETIES	N IY K IH T IY IH S
NICETIES	N AH K AH T AH AH S
NICETIES	N IY K IH D IY IH S
WIELD	W IY IH L D
WIELD	W AH AH L D
WIELD	W IY IH L T
LORDSHIPS	L AO R D S HH IY P S
LORDSHIPS	L AH R D S HH AH P S
ACCOMPANIMENTS	AH K K AO M P AH N IY M IH N T S
ACCOMPANIMENTS	AH K K AH M P AH N AH M AH N T S
ACCOMPANIMENTS	AH K K AO M P AH N IY M IH N D S
GOALS	G AO AH L S
GOALS	G AH AH L S
CARRASCO	K AH R R AH S K AO
CARRASCO	K AH R R AH S K AH
UNHINGE	UW N HH IY N G IH
UNHINGE	AH N HH AH N G AH
APPERTAINING	AH P P IH R T AH IY N IY N G
APPERTAINING	AH P P AH R T AH AH N AH N G
APPERTAINING	AH P P IH R D AH IY N IY N G
ENAMOURED	IH N AH M AO UW R IH D
ENAMOURED	AH N AH M AH AH R AH D
ENAMOURED	IH N AH M AO UW R IH T
ASCERTAINING	AH S K IH R T AH IY N IY N G
ASCERTAINING	AH S K AH R T AH AH N AH N G
ASCERTAINING	AH S K IH R D AH IY N IY N G
SLACKEN	S L AH K K IH N
SLACKEN	S L AH K K AH N
SURNAME	S UW R N AH M IH
SURNAME	S AH R N AH M AH
CAMACHO'S	K AH M AH K HH AO S
CAMACHO'S	K AH M AH K HH AH S
TOLEDANS	T AO L IH D AH N S
TOLEDANS	T AH L AH D AH N S
CORCHUELO	K AO R K HH UW IH L AO
CORCHUELO	K AH R K HH AH AH L AH
DISMOUNT	D IY S M AO UW N T
DISMOUNT	D AH S M AH AH N T
DESPISING	D IH S P IY S IY N G
DESPISING	D AH S P AH S AH N G
ONSET	AO N S IH T
ONSET	AH N S AH T
DEVOUTLY	D IH V AO UW T L Y
DEVOUTLY	D AH V AH AH T L Y
DEVOUTLY	D IH V AO UW D L Y
STRIPS	S T R IY P S
STRIPS	S T R AH P S
STRIPS	S D R IY P S
CUTTLEFISH	K UW T T L IH F IY S HH
CUTTLEFISH	K AH T T L AH F AH S HH
CUTTLEFISH	K UW D D L IH F IY S HH
HILT	HH IY L T
HILT	HH AH L T
AURORA	AH UW R AO R AH
AURORA	AH AH R AH R AH
FERVENT	F IH R V IH N T
FERVENT	F AH R V AH N T
COUNTERPOISE	K AO UW N T IH R P AO IY S IH
COUNTERPOISE	K AH AH N T AH R P AH AH S AH
COUNTERPOISE	K AO UW N D IH R P AO IY S IH
ENLIVEN	IH N L IY V IH N
ENLIVEN	AH N L AH V AH N
SPICES	S P IY K IH S
SPICES	S P AH K AH S
CAPTIVATE	K AH P T IY V AH T IH
CAPTIVATE	K AH P T AH V AH T AH
CAPTIVATE	K AH P D IY V AH D IH
BASHFUL	B AH S HH F UW L
BASHFUL	B AH S HH F AH L
GALA	G AH L AH
LATERALLY	L AH T IH R AH L L Y
LATERALLY	L AH T AH R AH L L Y
LATERALLY	L AH D IH R AH L L Y
FANGS	F AH N G S
TRANSCENDING	T R AH N S K IH N D IY N G
TRANSCENDING	T R AH N S K AH N D AH N G
VISE	V IY S IH
VISE	V AH S AH
GLIMPSED	G L IY M P S IH D
GLIMPSED	G L AH M P S AH D
GLIMPSED	G L IY M P S IH T
FROTHING	F R AO T HH IY N G
FROTHING	F R AH T HH AH N G
FROTHING	F R AO D HH IY N G
OVERWHELMINGLY	AO V IH R W HH IH L M IY N G L Y
OVERWHELMINGLY	AH V AH R W HH AH L M AH N G L Y
FIGURED	F IY G UW R IH D
FIGURED	F AH G AH R AH D
FIGURED	F IY G UW R IH T
ERSTWHILE	IH R S T W HH IY L IH
ERSTWHILE	AH R S T W HH AH L AH
ERSTWHILE	IH R S D W HH IY L IH
BATTLED	B AH T T L IH D
BATTLED	B AH T T L AH D
BATTLED	B AH T T L IH T
BATTLED	B AH D D L IH D
TUSK	T UW S K
TUSK	T AH S K
PURGATORY	P UW R G AH T AO R Y
PURGATORY	P AH R G AH T AH R Y
PURGATORY	P UW R G AH D AO R Y
GEHENNA	G IH HH IH N N AH
GEHENNA	G AH HH AH N N AH
STRAPPED	S T R AH P P IH D
STRAPPED	S T R AH P P AH D
STRAPPED	S T R AH P P IH T
STRAPPED	S D R AH P P IH D
UNMANAGEABLE	UW N M AH N AH G IH AH B L IH
UNMANAGEABLE	AH N M AH N AH G AH AH B L AH
THOAT	TH AO AH T
THOAT	TH AH AH T
SKULLS	S K UW L L S
SKULLS	S K AH L L S
WARHOONS	W AH R HH AO AO N S
WARHOONS	W AH R HH AH AH N S
TRANSCENDS	T R AH N S K IH N D S
TRANSCENDS	T R AH N S K AH N D S
INSUBORDINATE	IY N S UW B AO R D IY N AH T IH
INSUBORDINATE	AH N S AH B AH R D AH N AH T AH
INSUBORDINATE	IY N S UW B AO R D IY N AH D IH
RIPPED	R IY P P IH D
RIPPED	R AH P P AH D
RIPPED	R IY P P IH T
HERCULEAN	HH IH R K UW L IH AH N
HERCULEAN	HH AH R K AH L AH AH N
JAILER	JH AH IY L IH R
JAILER	JH AH AH L AH R
VICTIM'S	V IY K T IY M S
VICTIM'S	V AH K T AH M S
VICTIM'S	V IY K D IY M S
THOATS	TH AO AH T S
THOATS	TH AH AH T S
THOATS	TH AO AH D S
THRONES	TH R AO N IH S
THRONES	TH R AH N AH S
ENCRUSTED	IH N K R UW S T IH D
ENCRUSTED	AH N K R AH S T AH D
ENCRUSTED	IH N K R UW S T IH T
ENCRUSTED	IH N K R UW S D IH D
DIGNITARIES	D IY G N IY T AH R IY IH S
DIGNITARIES	D AH G N AH T AH R AH AH S
DIGNITARIES	D IY G N IY D AH R IY IH S
PYGMIES	P Y G M IY IH S
PYGMIES	P Y G M AH AH S
JAILERS	JH AH IY L IH R S
JAILERS	JH AH AH L AH R S
LABYRINTHINE	L AH B Y R IY N T HH IY N IH
LABYRINTHINE	L AH B Y R AH N T HH AH N AH
LABYRINTHINE	L AH B Y R IY N D HH IY N IH
LOOT	L AO AO T
LOOT	L AH AH T
HELIUM	HH IH L IY UW M
HELIUM	HH AH L AH AH M
ALARMS	AH L AH R M S
REAPING	R IH AH P IY N G
REAPING	R AH AH P AH N G
DUSKILY	D UW S K IY L Y
DUSKILY	D AH S K AH L Y
TORCHLIGHT	T AO R K HH L IY G HH T
TORCHLIGHT	T AH R K HH L AH G HH T
LUBBER	L UW B B IH R
LUBBER	L AH B B AH R
ROPE'S	R AO P IH S
ROPE'S	R AH P AH S
BUOY	B UW AO Y
BUOY	B AH AH Y
RUINATION	R UW IY N AH T IY AO N
RUINATION	R AH AH N AH T AH AH N
RUINATION	R UW IY N AH D IY AO N
HOSTAGE	HH AO S T AH G IH
HOSTAGE	HH AH S T AH G AH
HOSTAGE	HH AO S D AH G IH
HITCH	HH IY T K HH
HITCH	HH AH T K HH
HITCH	HH IY D K HH
TAIN'T	T AH IY N T
TAIN'T	T AH AH N T
RACER	R AH K IH R
RACER	R AH K AH R
COOLEST	K AO AO L IH S T
COOLEST	K AH AH L AH S T
BANDAGE	B AH N D AH G IH
BANDAGE	B AH N D AH G AH
HAWKINS	HH AH W K IY N S
HAWKINS	HH AH W K AH N S
WRIGGLING	W R IY G G L IY N G
WRIGGLING	W R AH G G L AH N G
AXES	AH K S IH S
AXES	AH K S AH S
SILVER'S	S IY L V IH R S
SILVER'S	S AH L V AH R S
SMOLLETT	S M AO L L IH T T
SMOLLETT	S M AH L L AH T T
SMOLLETT	S M AO L L IH D T
GAYER	G AH Y IH R
GAYER	G AH Y AH R
ONSLAUGHT	AO N S L AH UW G HH T
ONSLAUGHT	AH N S L AH AH G HH T
RAVING	R AH V IY N G
RAVING	R AH V AH N G
BULWARKS	B UW L W AH R K S
BULWARKS	B AH L W AH R K S
SOJOURN	S AO JH AO UW R N
SOJOURN	S AH JH AH AH R N
DEDUCED	D IH D UW K IH D
DEDUCED	D AH D AH K AH D
DEDUCED	D IH D UW K IH T
CONDUCE	K AO N D UW K IH
CONDUCE	K AH N D AH K AH
EXPOUNDED	IH K S P AO UW N D IH D
EXPOUNDED	AH K S P AH AH N D AH D
EXPOUNDED	IH K S P AO UW N D IH T
CONSUME	K AO N S UW M IH
CONSUME	K AH N S AH M AH
CONFORMATION	K AO N F AO R M AH T IY AO N
CONFORMATION	K AH N F AH R M AH T AH AH N
CONFORMATION	K AO N F AO R M AH D IY AO N
CORRESPOND	K AO R R IH S P AO N D
CORRESPOND	K AH R R AH S P AH N D
CORRESPOND	K AO R R IH S P AO N T
VENA	V IH N AH
VENA	V AH N AH
INAPPROPRIATELY	IY N AH P P R AO P R IY AH T IH L Y
INAPPROPRIATELY	AH N AH P P R AH P R AH AH T AH L Y
INAPPROPRIATELY	IY N AH P P R AO P R IY AH D IH L Y
CANALS	K AH N AH L S
PELLICLES	P IH L L IY K L IH S
PELLICLES	P AH L L AH K L AH S
PRECLUDE	P R IH K L UW D IH
PRECLUDE	P R AH K L AH D AH
LIGATURE	L IY G AH T UW R IH
LIGATURE	L AH G AH T AH R AH
LIGATURE	L IY G AH D UW R IH
SMALLNESS	S M AH L L N IH S S
SMALLNESS	S M AH L L N AH S S
PERFORATED	P IH R F AO R AH T IH D
PERFORATED	P AH R F AH R AH T AH D
PERFORATED	P IH R F AO R AH T IH T
PERFORATED	P IH R F AO R AH D IH D
DISTRIBUTING	D IY S T R IY B UW T IY N G
DISTRIBUTING	D AH S T R AH B AH T AH N G
DISTRIBUTING	D IY S D R IY B UW D IY N G
IRRATIONAL	IY R R AH T IY AO N AH L
IRRATIONAL	AH R R AH T AH AH N AH L
IRRATIONAL	IY R R AH D IY AO N AH L
EMITS	IH M IY T S
EMITS	AH M AH T S
EMITS	IH M IY D S
IDIOTS	IY D IY AO T S
IDIOTS	AH D AH AH T S
IDIOTS	IY D IY AO D S
BRAINED	B R AH IY N IH D
BRAINED	B R AH AH N AH D
BRAINED	B R AH IY N IH T
POSTSCRIPT	P AO S T S K R IY P T
POSTSCRIPT	P AH S T S K R AH P T
POSTSCRIPT	P AO S D S K R IY P T
LANDLEAGUERS	L AH N D L IH AH G UW IH R S
LANDLEAGUERS	L AH N D L AH AH G AH AH R S
KEPPEL	K IH P P IH L
KEPPEL	K AH P P AH L
RUSSELL	R UW S S IH L L
RUSSELL	R AH S S AH L L
WYKAMIST	W Y K AH M IY S T
WYKAMIST	W Y K AH M AH S T
BARRISTER	B AH R R IY S T IH R
BARRISTER	B AH R R AH S T AH R
BARRISTER	B AH R R IY S D IH R
SUICIDAL	S UW IY K IY D AH L
SUICIDAL	S AH AH K AH D AH L
BOARDERS	B AO AH R D IH R S
BOARDERS	B AH AH R D AH R S
SUNBURY	S UW N B UW R Y
SUNBURY	S AH N B AH R Y
UNFURNISHED	UW N F UW R N IY S HH IH D
UNFURNISHED	AH N F AH R N AH S HH AH D
UNFURNISHED	UW N F UW R N IY S HH IH T
FOES	F AO IH S
FOES	F AH AH S
UNATTRACTIVE	UW N AH T T R AH K T IY V IH
UNATTRACTIVE	AH N AH T T R AH K T AH V AH
UNATTRACTIVE	UW N AH D D R AH K D IY V IH
WEALD	W IH AH L D
WEALD	W AH AH L D
WEALD	W IH AH L T
BOARDER	B AO AH R D IH R
BOARDER	B AH AH R D AH R
COWSHEDS	K AO W S HH IH D S
COWSHEDS	K AH W S HH AH D S
JOCUND	JH AO K UW N D
JOCUND	JH AH K AH N D
JOCUND	JH AO K UW N T
FOLIO	F AO L IY AO
FOLIO	F AH L AH AH
CANTERBURY	K AH N T IH R B UW R Y
CANTERBURY	K AH N T AH R B AH R Y
CANTERBURY	K AH N D IH R B UW R Y
PRODIGAL	P R AO D IY G AH L
PRODIGAL	P R AH D AH G AH L
CEASELESS	K IH AH S IH L IH S S
CEASELESS	K AH AH S AH L AH S S
BEDSTEAD	B IH D S T IH AH D
BEDSTEAD	B AH D S T AH AH D
BEDSTEAD	B IH D S T IH AH T
BEDSTEAD	B IH D S D IH AH D
TUGGING	T UW G G IY N G
TUGGING	T AH G G AH N G
ADJUTANT'S	AH D JH UW T AH N T S
ADJUTANT'S	AH D JH AH T AH N T S
ADJUTANT'S	AH D JH UW D AH N D S
RHYTHMICALLY	R HH Y T HH M IY K AH L L Y
RHYTHMICALLY	R HH Y T HH M AH K AH L L Y
RHYTHMICALLY	R HH Y D HH M IY K AH L L Y
CHILDLIKE	CH IY L D L IY K IH
CHILDLIKE	CH AH L D L AH K AH
CALECHE	K AH L IH K HH IH
CALECHE	K AH L AH K HH AH
DRESSINGS	D R IH S S IY N G S
DRESSINGS	D R AH S S AH N G S
DELIRIOUS	D IH L IY R IY AO UW S
DELIRIOUS	D AH L AH R AH AH AH S
COCKROACHES	K AO K K R AO AH K HH IH S
COCKROACHES	K AH K K R AH AH K HH AH S
RUSTLED	R UW S T L IH D
RUSTLED	R AH S T L AH D
RUSTLED	R UW S T L IH T
RUSTLED	R UW S D L IH D
SEQUENCE	S IH K UW IH N K IH
SEQUENCE	S AH K AH AH N K AH
ENJOIN	IH N JH AO IY N
ENJOIN	AH N JH AH AH N
SPLINTERS	S P L IY N T IH R S
SPLINTERS	S P L AH N T AH R S
SPLINTERS	S P L IY N D IH R S
BOLKONSKI	B AO L K AO N S K IY
BOLKONSKI	B AH L K AH N S K AH
BROWNIE'S	B R AO W N IY IH S
BROWNIE'S	B R AH W N AH AH S
REFRIGERATOR	R IH F R IY G IH R AH T AO R
REFRIGERATOR	R AH F R AH G AH R AH T AH R
REFRIGERATOR	R IH F R IY G IH R AH D AO R
BEAVER'S	B IH AH V IH R S
BEAVER'S	B AH AH V AH R S
FATTY	F AH T T Y
FATTY	F AH D D Y
COON	K AO AO N
COON	K AH AH N
WOODCHUCK	W AO AO D K HH UW K K
WOODCHUCK	W AH AH D K HH AH K K
FELLING	F IH L L IY N G
FELLING	F AH L L AH N G
SWUM	S W UW M
SWUM	S W AH M
SPECULATOR	S P IH K UW L AH T AO R
SPECULATOR	S P AH K AH L AH T AH R
SPECULATOR	S P IH K UW L AH D AO R
CURRER	K UW R R IH R
CURRER	K AH R R AH R
ALTHESA	AH L T HH IH S AH
ALTHESA	AH L T HH AH S AH
ALTHESA	AH L D HH IH S AH
CHATTEL	CH AH T T IH L
CHATTEL	CH AH T T AH L
CHATTEL	CH AH D D IH L
DEM	D IH M
TOBIAS	T AO B IY AH S
TOBIAS	T AH B AH AH S
LOUISVILLE	L AO UW IY S V IY L L IH
LOUISVILLE	L AH AH AH S V AH L L AH
SLAVE'S	S L AH V IH S
SLAVE'S	S L AH V AH S
WASHER	W AH S HH IH R
WASHER	W AH S HH AH R
BATON	B AH T AO N
BATON	B AH T AH N
BATON	B AH D AO N
ROUGE	R AO UW G IH
ROUGE	R AH AH G AH
FETTERED	F IH T T IH R IH D
FETTERED	F AH T T AH R AH D
FETTERED	F IH T T IH R IH T
FETTERED	F IH D D IH R IH D
E'ER	IH IH R
E'ER	AH AH R
PEERLESS	P IH IH R L IH S S
PEERLESS	P AH AH R L AH S S
REND	R IH N D
REND	R AH N D
REND	R IH N T
FLAY	F L AH Y
BEGRUDGED	B IH G R UW D G IH D
BEGRUDGED	B AH G R AH D G AH D
BEGRUDGED	B IH G R UW D G IH T
LAVRUSHKA	L AH V R UW S HH K AH
LAVRUSHKA	L AH V R AH S HH K AH
BELTS	B IH L T S
BELTS	B AH L T S
BELTS	B IH L D S
LIBERATED	L IY B IH R AH T IH D
LIBERATED	L AH B AH R AH T AH D
LIBERATED	L IY B IH R AH T IH T
LIBERATED	L IY B IH R AH D IH D
MATTING	M AH T T IY N G
MATTING	M AH T T AH N G
MATTING	M AH D D IY N G
BROADSHEETS	B R AO AH D S HH IH IH T S
BROADSHEETS	B R AH AH D S HH AH AH T S
BROADSHEETS	B R AO AH D S HH IH IH D S
COUSINE	K AO UW S IY N IH
COUSINE	K AH AH S AH N AH
IVANOVNA	IY V AH N AO V N AH
IVANOVNA	AH V AH N AH V N AH
MISINFORMED	M IY S IY N F AO R M IH D
MISINFORMED	M AH S AH N F AH R M AH D
MISINFORMED	M IY S IY N F AO R M IH T
IRRESOLUTION	IY R R IH S AO L UW T IY AO N
IRRESOLUTION	AH R R AH S AH L AH T AH AH N
IRRESOLUTION	IY R R IH S AO L UW D IY AO N
JULIE	JH UW L IY IH
JULIE	JH AH L AH AH
VORONTSOVO	V AO R AO N T S AO V AO
VORONTSOVO	V AH R AH N T S AH V AH
VORONTSOVO	V AO R AO N D S AO V AO
LEPPICH	L IH P P IY K HH
LEPPICH	L AH P P AH K HH
COURIER	K AO UW R IY IH R
COURIER	K AH AH R AH AH R
FLOGGING	F L AO G G IY N G
FLOGGING	F L AH G G AH N G
OUTPOST	AO UW T P AO S T
OUTPOST	AH AH T P AH S T
OUTPOST	AO UW D P AO S T
STEADFASTLY	S T IH AH D F AH S T L Y
STEADFASTLY	S T AH AH D F AH S T L Y
STEADFASTLY	S D IH AH D F AH S D L Y
REJECTING	R IH JH IH K T IY N G
REJECTING	R AH JH AH K T AH N G
REJECTING	R IH JH IH K D IY N G
INTERFERING	IY N T IH R F IH R IY N G
INTERFERING	AH N T AH R F AH R AH N G
INTERFERING	IY N D IH R F IH R IY N G
EFFUSION	IH F F UW S IY AO N
EFFUSION	AH F F AH S AH AH N
REQUESTING	R IH K UW IH S T IY N G
REQUESTING	R AH K AH AH S T AH N G
REQUESTING	R IH K UW IH S D IY N G
DISMISSION	D IY S M IY S S IY AO N
DISMISSION	D AH S M AH S S AH AH N
ASSIDUOUS	AH S S IY D UW AO UW S
ASSIDUOUS	AH S S AH D AH AH AH S
SHORTEN	SH AO R T IH N
SHORTEN	SH AH R T AH N
SHORTEN	SH AO R D IH N
WICKHAM	W IY K K HH AH M
WICKHAM	W AH K K HH AH M
INSPIRES	IY N S P IY R IH S
INSPIRES	AH N S P AH R AH S
MISLEADING	M IY S L IH AH D IY N G
MISLEADING	M AH S L AH AH D AH N G
ADMIRES	AH D M IY R IH S
ADMIRES	AH D M AH R AH S
DISOBLIGING	D IY S AO B L IY G IY N G
DISOBLIGING	D AH S AH B L AH G AH N G
CAROLINE'S	K AH R AO L IY N IH S
CAROLINE'S	K AH R AH L AH N AH S
LAMENTING	L AH M IH N T IY N G
LAMENTING	L AH M AH N T AH N G
LAMENTING	L AH M IH N D IY N G
IRKSOME	IY R K S AO M IH
IRKSOME	AH R K S AH M AH
PRESERVATIVE	P R IH S IH R V AH T IY V IH
PRESERVATIVE	P R AH S AH R V AH T AH V AH
PRESERVATIVE	P R IH S IH R V AH D IY V IH
OFFENDING	AO F F IH N D IY N G
OFFENDING	AH F F AH N D AH N G
CIVILITIES	K IY V IY L IY T IY IH S
CIVILITIES	K AH V AH L AH T AH AH S
CIVILITIES	K IY V IY L IY D IY IH S
SYNCOPATION	S Y N K AO P AH T IY AO N
SYNCOPATION	S Y N K AH P AH T AH AH N
SYNCOPATION	S Y N K AO P AH D IY AO N
